iteration,best_fitness,coverage
1.0,20.0,0.057499999999999996
2.0,20.0,0.0625
3.0,20.0,0.06999999999999995
4.0,20.0,0.08499999999999996
5.0,20.0,0.09499999999999997
6.0,20.0,0.09999999999999998
7.0,20.0,0.10250000000000004
8.0,20.0,0.10999999999999999
9.0,20.0,0.11499999999999999
10.0,20.0,0.12250000000000005
11.0,20.0,0.13
12.0,20.0,0.13249999999999995
13.0,20.0,0.135
14.0,20.0,0.13749999999999996
15.0,20.0,0.14
16.0,20.0,0.14749999999999996
17.0,20.0,0.15500000000000003
18.0,20.0,0.15749999999999997
19.0,20.0,0.16500000000000004
20.0,20.0,0.1725
21.0,20.0,0.1725
22.0,20.0,0.17500000000000004
23.0,20.0,0.18000000000000005
24.0,20.0,0.18000000000000005
25.0,18.0,0.1825
26.0,18.0,0.18999999999999995
27.0,18.0,0.1925
28.0,18.0,0.19499999999999995
29.0,16.0,0.19999999999999996
30.0,16.0,0.2025
31.0,16.0,0.20499999999999996
32.0,16.0,0.20499999999999996
33.0,16.0,0.20499999999999996
34.0,16.0,0.20750000000000002
35.0,16.0,0.20750000000000002
36.0,16.0,0.20999999999999996
37.0,16.0,0.20999999999999996
38.0,15.0,0.20999999999999996
39.0,15.0,0.20999999999999996
40.0,15.0,0.21250000000000002
41.0,15.0,0.21250000000000002
42.0,15.0,0.21499999999999997
43.0,15.0,0.21499999999999997
44.0,15.0,0.21750000000000003
45.0,15.0,0.21750000000000003
46.0,15.0,0.21750000000000003
47.0,15.0,0.21750000000000003
48.0,15.0,0.21750000000000003
49.0,15.0,0.21750000000000003
50.0,15.0,0.21750000000000003
51.0,15.0,0.21750000000000003
52.0,15.0,0.21750000000000003
53.0,15.0,0.21999999999999997
54.0,15.0,0.22499999999999998
55.0,15.0,0.22750000000000004
56.0,15.0,0.22750000000000004
57.0,15.0,0.23250000000000004
58.0,6.0,0.23250000000000004
59.0,6.0,0.23250000000000004
60.0,6.0,0.23750000000000004
61.0,6.0,0.245
62.0,6.0,0.24750000000000005
63.0,6.0,0.24750000000000005
64.0,6.0,0.24750000000000005
65.0,6.0,0.24750000000000005
66.0,6.0,0.25249999999999995
67.0,6.0,0.25249999999999995
68.0,6.0,0.25749999999999995
69.0,6.0,0.25749999999999995
70.0,6.0,0.25749999999999995
71.0,6.0,0.26249999999999996
72.0,6.0,0.26249999999999996
73.0,6.0,0.26249999999999996
74.0,6.0,0.26249999999999996
75.0,6.0,0.26249999999999996
76.0,6.0,0.26249999999999996
77.0,6.0,0.26249999999999996
78.0,6.0,0.265
79.0,6.0,0.265
80.0,6.0,0.265
81.0,6.0,0.265
82.0,6.0,0.26749999999999996
83.0,6.0,0.26749999999999996
84.0,6.0,0.26749999999999996
85.0,6.0,0.27
86.0,6.0,0.27
87.0,6.0,0.27
88.0,6.0,0.27249999999999996
89.0,6.0,0.27249999999999996
90.0,6.0,0.27249999999999996
91.0,6.0,0.27249999999999996
92.0,6.0,0.27249999999999996
93.0,6.0,0.27249999999999996
94.0,6.0,0.27249999999999996
95.0,6.0,0.27249999999999996
96.0,6.0,0.27249999999999996
97.0,6.0,0.275
98.0,6.0,0.275
99.0,6.0,0.27749999999999997
100.0,6.0,0.27749999999999997
101.0,6.0,0.27749999999999997
102.0,6.0,0.27749999999999997
103.0,6.0,0.27749999999999997
104.0,6.0,0.27749999999999997
105.0,6.0,0.28
106.0,6.0,0.28
107.0,6.0,0.2825
108.0,6.0,0.2825
109.0,6.0,0.2825
110.0,6.0,0.2825
111.0,6.0,0.28500000000000003
112.0,6.0,0.28500000000000003
113.0,6.0,0.28500000000000003
114.0,6.0,0.28500000000000003
115.0,6.0,0.28500000000000003
116.0,6.0,0.28500000000000003
117.0,6.0,0.28500000000000003
118.0,6.0,0.28500000000000003
119.0,6.0,0.28500000000000003
120.0,6.0,0.2925
121.0,6.0,0.2925
122.0,6.0,0.2925
123.0,6.0,0.2925
124.0,6.0,0.2925
125.0,6.0,0.2925
126.0,6.0,0.2925
127.0,6.0,0.2925
